question,optA,optB,optC,optD,correct_answer
Who holds the record for the most home runs in Major League Baseball (MLB) history?,Babe Ruth,Barry Bonds,Hank Aaron,Alex Rodriguez,2
In which city were the inaugural modern Olympic Games held in 1896?,"Paris, France ","Athens, Greece ","Rome, Italy","London, United Kingdom",2
Who is the all-time leading scorer in the NBA (National Basketball Association)? ,Kobe Bryant ,LeBron James ,Michael Jordan,Kareem Abdul-Jabbar,2
Which country has won the most FIFA World Cup titles?,Germany ,Brazil, Argentina,italy,2
Who holds the record for the most goals scored in a single season of the English Premier League?,erling haland,Alan Shearer,Cristiano Ronaldo ,Mohamed Salah,1
"Which boxer is known as ""The Greatest"" and ""The People's Champion""?", Mike Tyson,Muhammad Ali,Floyd Mayweather Jr.,Manny Pacquiao,2
Which country has won the most Olympic gold medals in the history of the Summer Olympics? ,United States,china,russia,germany,1
"Who is the most decorated Olympian of all time, with a total of 28 Olympic medals?",Usain Bolt,Michael Phelps,Simone Biles,Serena Williams,2
Which golfer has won the most major championships in history? ,Tiger Woods ,Jack Nicklaus ,Arnold Palmer ,Phil Mickelson,2
"In which sport would you perform a ""slam dunk""? ",Tennis,basketball,volleyball,rugby,2
