question,optA,optB,optC,optD,correct_answer
What is the largest continent by land area?,africa,europe,north america,asia,4
Which river is the longest in the world?,Amazon River,Nile River ,Yangtze River ,Mississippi River,2
What is the capital city of Australia?,Sydney,Melbourne,Canberra ,Brisbane,2
"Which country is known as the ""Land of the Rising Sun""? ",china,japan,thailand,south korea,2
What is the tallest mountain in the world? ,Mount Kilimanjaro,Mount Everest,Mount McKinley (Denali) ,Mount Aconcagua,2
Which desert is the largest in the world?,Sahara Desert ,Gobi Desert ,Arabian Desert ,Atacama Desert,1
What is the smallest country in the world by land area?,Monaco ,Vatican City ,Liechtenstein,Nauru,2
Which continent is home to the Amazon Rainforest? ,Africa ,Asia,South America ,Australia,3
What is the capital city of Canada?,toronato,Vancouver ,Ottawa ,Montreal,1
Which ocean is the largest by area?,Pacific Ocean,Indian Ocean,Atlantic Ocean ,Southern Ocean,1
