question,optA,optB,optC,optD,correct_answer
When was the first computer introduced in Nepal?,1965,1971,1980,1992,2
Which was the first Nepali software developed for computers?,Nepali Typing Tutor,Nepali Brihat Sabdakosh (Nepali Dictionary),Nepali Language Translator,Nepali Numerical System Converter,2
Who founded the Nepal Wireless Networking Project to provide internet access to remote areas?,Mahabir Pun ,Dinesh Raj Pant,Subir Pradhanang ,Nain Bahadur Khatri,1
Which year did Nepal establish its first internet connection?,1985,1994,2001,2009,2
Which telecommunication company introduced mobile services in Nepal?,Ncell,Nepal Telecom,Smart Cell,United Telecom Limited (UTL) ,2
Which year did Nepal launch its first satellite?,2015,2017,2019,2000,3
Which was the first privately owned internet service provider (ISP) in Nepal?,Mercantile Communications Pvt. Ltd,Subisu Cablenet Pvt. Ltd.,WorldLink Communications Ltd.,Vianet Communications Pvt. Ltd.,1
Who invented the first typewriter?,Thomas Edison,Christopher Latham Sholes,Alexander Graham Bell,Johannes Gutenberg,1
"Who is known as the ""Father of the Internet""?",Bill Gates,Vint Cerf,Tim Berners-Lee,Steve Jobs,2
Which year saw the establishment of the World Wide Web (WWW)?,1983,1989,1995,2000,2
